State,Non-Hispanic White,Non-Hispanic Black,Hispanic,Other
New Jersey,2.62,9.67,3.95,2.6
Massachusetts,2.89,6.95,5.46,
Connecticut,2.92,11.68,3.71,8.11
New Hampshire,2.99,,,
Alaska,3.47,,,8.32
California,3.51,8.23,4.25,3.12
South Dakota,3.66,,,10
New York,3.74,8.64,4.08,3.22
Colorado,4.02,11.71,4.7,
Rhode Island,4.03,,,
Washington,4.07,6.69,4.11,4.15
Minnesota,4.16,7.2,5.95,8.54
Maryland,4.27,10.41,5.73,4.61
Wyoming,4.29,,,
Arizona,4.36,9.12,5.26,7.42
Hawaii,4.36,,,6.69
Montana,4.62,,,
North Dakota,4.63,,,
Pennsylvania,4.65,11.28,6.97,3.63
Illinois,4.69,12.82,5.85,3.15
Oregon,4.69,,4.96,
Florida,4.7,11.01,4.54,4.17
Virginia,4.8,10.1,4.36,4.71
Texas,4.84,10.43,5.25,4.05
New Mexico,4.88,,6.45,
Utah,4.88,,6.03,
Michigan,4.91,12.42,6.81,
Iowa,5.09,12.95,7.49,
Nevada,5.1,10.46,4.93,5.56
Idaho,5.24,,8.58,
Louisiana,5.26,12.42,5.54,
Georgia,5.4,11.33,5.9,
South Carolina,5.43,10.84,5.65,
North Carolina,5.44,12.88,5.5,5.95
Wisconsin,5.47,14.6,4.31,5.1
Kansas,5.5,13.9,4.29,
Missouri,5.54,12.7,5.56,
Maine,5.74,,,
Nebraska,5.84,13.73,4.9,
Delaware,5.91,12.53,,
Ohio,6.04,13.71,7.14,4.97
Oklahoma,6.13,14.42,5.83,9.45
Kentucky,6.16,12.37,,
Tennessee,6.33,11.75,5.24,
Indiana,6.48,13.57,7.79,
Alabama,6.63,14.51,6.33,
West Virginia,6.98,,,
Mississippi,7.01,11.2,,
Arkansas,7.48,12.61,,
United States,,11.21,4.96,4.4
District of Columbia,,11.44,,
Vermont,,,,
