State,Race,Value
New Jersey,Hispanic,3.95
New Jersey,Non-Hispanic White,2.62
New Jersey,Non-Hispanic Black,9.67
Massachusetts,Hispanic,5.46
Massachusetts,Non-Hispanic White,2.89
Massachusetts,Non-Hispanic Black,6.95
Connecticut,Hispanic,3.71
Connecticut,Non-Hispanic White,2.92
Connecticut,Non-Hispanic Black,11.68
New Hampshire,Hispanic,0
New Hampshire,Non-Hispanic White,2.99
New Hampshire,Non-Hispanic Black,0
Alaska,Hispanic,0
Alaska,Non-Hispanic White,3.47
Alaska,Non-Hispanic Black,0
California,Hispanic,4.25
California,Non-Hispanic White,3.51
California,Non-Hispanic Black,8.23
South Dakota,Hispanic,0
South Dakota,Non-Hispanic White,3.66
South Dakota,Non-Hispanic Black,0
New York,Hispanic,4.08
New York,Non-Hispanic White,3.74
New York,Non-Hispanic Black,8.64
Colorado,Hispanic,4.7
Colorado,Non-Hispanic White,4.02
Colorado,Non-Hispanic Black,11.71
Rhode Island,Hispanic,0
Rhode Island,Non-Hispanic White,4.03
Rhode Island,Non-Hispanic Black,0
Washington,Hispanic,4.11
Washington,Non-Hispanic White,4.07
Washington,Non-Hispanic Black,6.69
Minnesota,Hispanic,5.95
Minnesota,Non-Hispanic White,4.16
Minnesota,Non-Hispanic Black,7.2
Maryland,Hispanic,5.73
Maryland,Non-Hispanic White,4.27
Maryland,Non-Hispanic Black,10.41
Wyoming,Hispanic,0
Wyoming,Non-Hispanic White,4.29
Wyoming,Non-Hispanic Black,0
Arizona,Hispanic,5.26
Arizona,Non-Hispanic White,4.36
Arizona,Non-Hispanic Black,9.12
Hawaii,Hispanic,0
Hawaii,Non-Hispanic White,4.36
Hawaii,Non-Hispanic Black,0
Montana,Hispanic,0
Montana,Non-Hispanic White,4.62
Montana,Non-Hispanic Black,0
North Dakota,Hispanic,0
North Dakota,Non-Hispanic White,4.63
North Dakota,Non-Hispanic Black,0
Pennsylvania,Hispanic,6.97
Pennsylvania,Non-Hispanic White,4.65
Pennsylvania,Non-Hispanic Black,11.28
Illinois,Hispanic,5.85
Illinois,Non-Hispanic White,4.69
Illinois,Non-Hispanic Black,12.82
Oregon,Hispanic,4.96
Oregon,Non-Hispanic White,4.69
Oregon,Non-Hispanic Black,0
Florida,Hispanic,4.54
Florida,Non-Hispanic White,4.7
Florida,Non-Hispanic Black,11.01
Virginia,Hispanic,4.36
Virginia,Non-Hispanic White,4.8
Virginia,Non-Hispanic Black,10.1
Texas,Hispanic,5.25
Texas,Non-Hispanic White,4.84
Texas,Non-Hispanic Black,10.43
New Mexico,Hispanic,6.45
New Mexico,Non-Hispanic White,4.88
New Mexico,Non-Hispanic Black,0
Utah,Hispanic,6.03
Utah,Non-Hispanic White,4.88
Utah,Non-Hispanic Black,0
Michigan,Hispanic,6.81
Michigan,Non-Hispanic White,4.91
Michigan,Non-Hispanic Black,12.42
Iowa,Hispanic,7.49
Iowa,Non-Hispanic White,5.09
Iowa,Non-Hispanic Black,12.95
Nevada,Hispanic,4.93
Nevada,Non-Hispanic White,5.1
Nevada,Non-Hispanic Black,10.46
Idaho,Hispanic,8.58
Idaho,Non-Hispanic White,5.24
Idaho,Non-Hispanic Black,0
Louisana,Hispanic,5.54
Louisana,Non-Hispanic White,5.26
Louisana,Non-Hispanic Black,12.42
Georgia,Hispanic,5.9
Georgia,Non-Hispanic White,5.4
Georgia,Non-Hispanic Black,11.33
South Carolina,Hispanic,5.65
South Carolina,Non-Hispanic White,5.43
South Carolina,Non-Hispanic Black,10.84
North Carolina,Hispanic,5.5
North Carolina,Non-Hispanic White,5.44
North Carolina,Non-Hispanic Black,12.88
Wisconsin,Hispanic,4.31
Wisconsin,Non-Hispanic White,5.47
Wisconsin,Non-Hispanic Black,14.6
Kansas,Hispanic,4.29
Kansas,Non-Hispanic White,5.5
Kansas,Non-Hispanic Black,13.9
Missouri,Hispanic,5.56
Missouri,Non-Hispanic White,5.54
Missouri,Non-Hispanic Black,12.7
Maine,Hispanic,0
Maine,Non-Hispanic White,5.74
Maine,Non-Hispanic Black,0
Nebraska,Hispanic,4.9
Nebraska,Non-Hispanic White,5.84
Nebraska,Non-Hispanic Black,13.73
Delaware,Hispanic,0
Delaware,Non-Hispanic White,5.91
Delaware,Non-Hispanic Black,12.53
Ohio,Hispanic,7.14
Ohio,Non-Hispanic White,6.04
Ohio,Non-Hispanic Black,13.71
Oklahoma,Hispanic,5.83
Oklahoma,Non-Hispanic White,6.13
Oklahoma,Non-Hispanic Black,14.42
Kentucky,Hispanic,0
Kentucky,Non-Hispanic White,6.16
Kentucky,Non-Hispanic Black,12.37
Tennessee,Hispanic,5.24
Tennessee,Non-Hispanic White,6.33
Tennessee,Non-Hispanic Black,11.75
Indiana,Hispanic,7.79
Indiana,Non-Hispanic White,6.48
Indiana,Non-Hispanic Black,13.57
Alabama,Hispanic,6.33
Alabama,Non-Hispanic White,6.63
Alabama,Non-Hispanic Black,14.51
West Virginia,Hispanic,0
West Virginia,Non-Hispanic White,6.98
West Virginia,Non-Hispanic Black,0
Mississippi,Hispanic,0
Mississippi,Non-Hispanic White,7.01
Mississippi,Non-Hispanic Black,11.2
Arkansas,Hispanic,0
Arkansas,Non-Hispanic White,7.48
Arkansas,Non-Hispanic Black,12.61
District of Columbia,Hispanic,0
District of Columbia,Non-Hispanic White,0
District of Columbia,Non-Hispanic Black,11.44
Vermont,Hispanic,0
Vermont,Non-Hispanic White,0
Vermont,Non-Hispanic Black,0
