Country,Year,Rate
Australia,1990,7.5
Australia,2000,7.6
Australia,2015,5.5
Austria,1990,11.6
Austria,2000,7.5
Austria,2015,4.2
Belgium,1990,14.1
Belgium,2000,10.2
Belgium,2015,7.4
Canada,1990,6
Canada,2000,7.7
Canada,2015,7.3
Cyprus,1990,13.4
Cyprus,2000,12
Cyprus,2015,5.6
Czech Republic,1990,17.5
Czech Republic,2000,10.1
Czech Republic,2015,6.2
Denmark,1990,9.6
Denmark,2000,5.8
Denmark,2015,4.2
Estonia,1990,40
Estonia,2000,23.4
Estonia,2015,4.6
Finland,1990,7.9
Finland,2000,7.4
Finland,2015,3.8
France,1990,16.9
France,2000,11.7
France,2015,7.8
Germany,1990,20.2
Germany,2000,11.3
Germany,2015,9
Greece,1990,9.7
Greece,2000,8.2
Greece,2015,10
Iceland,1990,2.9
Iceland,2000,1.2
Iceland,2015,0.7
Ireland,1990,7
Ireland,2000,5.1
Ireland,2015,4.7
Israel,1990,11.1
Israel,2000,7.8
Israel,2015,5.8
Italy,1990,10.1
Italy,2000,6.9
Italy,2015,4.2
Japan,1990,12.8
Japan,2000,8.8
Japan,2015,6.4
Luxembourg,1990,10.2
Luxembourg,2000,6.7
Luxembourg,2015,11
Monaco,1990,
Monaco,2000,
Monaco,2015,
Netherlands,1990,12
Netherlands,2000,13.2
Netherlands,2015,6.7
New Zealand,1990,12.6
New Zealand,2000,10.2
New Zealand,2015,12
Norway,1990,6.7
Norway,2000,7
Norway,2015,3.8
Portugal,1990,18.8
Portugal,2000,13.3
Portugal,2015,9
Slovenia,1990,10.5
Slovenia,2000,10.6
Slovenia,2015,5.6
Spain,1990,12.5
Spain,2000,7.5
Spain,2015,5.6
Sweden,1990,10.4
Sweden,2000,6.8
Sweden,2015,4.4
Singapore,1990,10.6
Singapore,2000,11.5
Singapore,2015,5
Switzerland,1990,7.1
Switzerland,2000,7.6
Switzerland,2015,5.8
United Kingdom,1990,10.9
United Kingdom,2000,13.4
United Kingdom,2015,9.2
United States,1990,16.9
United States,2000,17.5
United States,2015,26.4
